Group,13c,18o,ID,Site ,Ref,Type,Notes
1,-13.4,26.6,BCES 73,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.3,26.5,BCES 74,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.6,28.5,BCES 76,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.2,26,BCES 79,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
2,-14.3,24.5,64,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.6,25,30,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.3,24.6,44,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.7,26,71,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.1,26.1,17,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14,24.2,19,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.9,25.9,21,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.6,24.5,34,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.6,25.7,42,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.3,26.5,46,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.2,25.4,52,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.4,26,53,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.3,24.3,74,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.1,24.9,77,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14,24.4,79,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.2,26,28,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14,27.1,48,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.3,25.5,65,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.3,25.1,67,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.6,27.5,82,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-15.1,24.8,89,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.1,24.6,94,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14,24.7,109,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.4,27.5,39,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-14.1,27.1,49,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
2,-13.7,24.5,51,Ban Lum Khao,Bentley et al. 2009,Enamel apatite,
3,-14.1,27.2,26,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.5,26.2,27,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.8,26.5,107,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14.5,27.4,108,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.6,28.5,42,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.5,27.7,44,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.8,28.7,36,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14.3,28,33,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.4,26.3,39,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.4,27.1,50,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.8,26,30,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.7,26.6,35,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.3,26.8,40,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.2,26.6,48,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14.5,28.2,16,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.9,26.8,94,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.7,27.3,111,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.6,26.6,104,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.7,26.6,110,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.7,26.5,113,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.5,27.2,69,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.3,27.3,74,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14,25.8,86,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.6,27.3,62,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14,26.5,15,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.9,27.3,1,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-12.9,27.1,5,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.8,27.7,66,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14.4,27.2,68,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14.5,26.2,10,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14.1,28.2,12,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-14,26.8,67,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.7,28.3,4,Noen U-Loke,Cox et al. 2011,Enamel apatite,
3,-13.9,27.3,8,Noen U-Loke,Cox et al. 2011,Enamel apatite,
4,-13.5,26.9,10,Ban Non Wat,King et al. 2013,Enamel apatite,SMOW values reported
4,-12.9,26.7,14,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.2,26.8,16,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,27.7,17,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.7,20,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-14.1,25.9,21,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.6,26.8,22,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.2,26.5,23,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.7,26.3,24,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,25.1,25,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.3,27.2,26,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-11.2,25.8,28,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,26.6,30,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.5,26.9,36.1,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,28.3,36.2,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,27.4,52,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.5,26.4,59,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,27.1,63,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,27.3,64,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,26.2,68,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,27.3,69,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.7,26.9,86,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,27.6,89,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,25.1,92,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,26.5,97,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.5,27.9,119,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.5,26.9,120,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,27.5,132,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.7,28,144,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,25.1,145,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,26.8,153,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.5,154,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,26.8,155,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,28.4,160,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,26.8,166,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,26.5,178,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,27.5,182,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.5,26.3,188,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,26,190,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.6,26.5,194,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.9,26.9,196,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.6,27.8,197,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-14.2,26.5,201,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,27.4,204,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-11.6,27.2,211,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,25.2,224,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.3,25.7,225,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,27.2,229,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.7,230,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,26.6,233,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.8,27.1,234,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,26,238,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,27.5,241,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,26.4,244,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,24.1,246,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.3,28.3,247,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,26.9,248,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,26.7,249,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.3,26.8,250,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-8.2,26.7,255,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,26.6,256,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-8.2,27.6,259,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,26.5,260,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,26,262,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.9,25.8,263,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.5,26.6,264,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,27.7,265,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.3,270,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.5,275,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.5,276,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,26.7,288,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,26.8,291,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-8.7,25.5,292,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.5,26.1,294,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-11.6,25.3,304,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,26.5,306,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.7,27.8,319,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,26.1,334,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-11,27.8,390,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,27.4,416,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,25.9,430,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.7,26.8,439,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.6,443,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,26.4,445,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.1,26.3,446,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,27.6,449,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.5,456,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.7,26.4,460,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-8.4,25.8,461,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-8.6,25.7,463,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.7,474,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,26.7,475,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.5,26.4,478,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,27,480,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.6,26.2,507,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.4,26.9,529,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,25.2,531,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.9,26.2,542,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,25.5,544,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.5,26.2,549,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.3,26.3,553,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.1,26.7,554,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.5,26.6,555,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.7,26.5,556,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,25.9,562,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.9,26,564,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.1,24.9,566,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.7,26.6,569,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.6,27.2,570,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-12.8,26.4,593,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.5,27.3,600,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,27.7,609,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,26.4,611,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13,25.9,618,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,27.4,620,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.2,27,624,Ban Non Wat,King et al. 2013,Enamel apatite,
4,-13.4,26.6,631,Ban Non Wat,King et al. 2013,Enamel apatite,
5,-12.7,25.5,2,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.6,25.9,4,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.2,25.9,8,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.1,25.5,9,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.8,25.3,11,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12,25.6,13,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-10.7,27,14,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.1,26.4,15,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.7,25.4,17,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.5,24.2,18,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.1,25.8,19,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12,26.1,20,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.7,26,23,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11,25.6,24,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.3,25.3,25,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.9,26.3,26,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.7,26.1,27,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12,26,29,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.8,26,30,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.2,26.6,33,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.2,26,35,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.7,26.2,37,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.9,26.3,38,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.8,25.7,40,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.3,26,42,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.1,25.2,43,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.1,25.2,44,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.5,25.2,45,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.8,25.3,47,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.7,25,56,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.8,25.1,57,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.4,24.8,58,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.2,25.3,60,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.3,25.6,61,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.8,26.6,63,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.8,24.8,64,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.4,24.5,67,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.6,25.2,73,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.2,25.2,74,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.2,25.1,76,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.2,25,77,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.1,25.2,79,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13,24.3,83,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.4,24.5,90,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.5,26.2,91,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13,26.4,92,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-6.1,25.8,96,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.6,26.3,101,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.4,25.3,102,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.9,25.2,103,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.1,26.2,107,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.2,25.4,109,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.7,25.7,110,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.5,25.3,112,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.7,26,113,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-11.9,25.5,115,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12,24.9,120,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.2,25.7,121,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.1,26.5,122,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13.6,24.9,123,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13,26.5,132,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12,26.2,145,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-12.9,24.8,147,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-14.1,25.1,150,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-13,25.9,152,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
5,-10.9,25.3,154,Khok Phanom Di,Bentley et al. 2007,Enamel apatite,
